Date,PRECTOT,T2M,RH2M,WS2M,Location,District,Latitude,Longitude,Cloudburst,Year,Month,MonthName,Season,Rainfall_Intensity,Humidity_Rainfall,Heat_Index
2007-12-02,0.0,10.98,47.2,1.72,Champawat (Champawat),Champawat,29.34,80.09,0,2007,12,Dec,Winter,,,
1994-06-03,0.0,29.18,14.2,2.78,Champawat (Champawat),Champawat,29.34,80.09,0,1994,6,Jun,Monsoon,,,
2012-09-13,16.86,13.07,96.02,3.65,Mandakini Valley (Rudraprayag),Rudraprayag,30.45,79.2,1,2012,9,Sep,Monsoon,,,
2012-08-08,3.98,18.09,90.48,1.82,Munsiyari (Pithoragarh),Pithoragarh,30.07,80.24,0,2012,8,Aug,Monsoon,,,
2016-03-06,1.5,17.34,43.98,2.54,Srinagar (Pauri Garhwal),Pauri Garhwal,30.22,78.77,0,2016,3,Mar,Spring,,,
2018-08-09,0.4,22.19,91.09,2.69,Champawat (Champawat),Champawat,29.34,80.09,1,2018,8,Aug,Monsoon,,,
2010-07-30,136.54,22.93,92.3,3.04,Mussoorie (Dehradun),Dehradun,30.45,78.07,1,2010,7,Jul,Monsoon,,,
1998-07-16,3.92,13.92,83.98,3.12,Malpa (Pithoragarh),Pithoragarh,30.23,80.72,0,1998,7,Jul,Monsoon,,,
2021-10-18,200.54,19.23,88.06,1.91,Nainital (Nainital),Nainital,29.38,79.45,1,2021,10,Oct,Autumn,,,
2000-02-08,0.05,10.88,48.5,2.19,Nainital (Nainital),Nainital,29.38,79.45,0,2000,2,Feb,Winter,,,
2010-07-30,139.78,18.97,94.2,2.9,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,1,2010,7,Jul,Monsoon,,,
2003-08-14,8.98,18.31,84.24,1.6,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,1,2003,8,Aug,Monsoon,,,
1997-04-18,0.0,18.25,37.37,2.52,Champawat (Champawat),Champawat,29.34,80.09,0,1997,4,Apr,Spring,,,
1998-08-18,4.72,14.43,86.93,3.31,Malpa (Pithoragarh),Pithoragarh,30.23,80.72,1,1998,8,Aug,Monsoon,,,
1992-09-30,0.36,10.1,77.87,2.06,Joshimath (Chamoli),Chamoli,30.55,79.57,0,1992,9,Sep,Monsoon,,,
1990-02-20,0.42,-3.25,81.62,1.86,Kedarnath (Rudraprayag),Rudraprayag,30.735,79.066,0,1990,2,Feb,Winter,,,
2025-05-19,1.14,6.04,76.08,3.54,Dharali (Uttarkashi),Uttarkashi,31.04,78.73,0,2025,5,May,Spring,,,
2010-09-19,55.02,9.15,91.86,1.33,Kedarnath (Rudraprayag),Rudraprayag,30.735,79.066,0,2010,9,Sep,Monsoon,,,
2017-07-15,1.96,23.04,85.74,2.38,Mussoorie (Dehradun),Dehradun,30.45,78.07,1,2017,7,Jul,Monsoon,,,
2016-10-05,1.03,10.98,74.47,2.18,Kedarnath (Rudraprayag),Rudraprayag,30.735,79.066,0,2016,10,Oct,Autumn,,,
2003-07-26,3.42,19.12,87.8,2.58,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,0,2003,7,Jul,Monsoon,,,
2018-03-27,0.0,8.49,28.0,2.43,Mandakini Valley (Rudraprayag),Rudraprayag,30.45,79.2,0,2018,3,Mar,Spring,,,
2006-07-25,29.91,17.65,88.88,2.3,Arakot (Uttarkashi),Uttarkashi,30.88,78.2,0,2006,7,Jul,Monsoon,,,
1991-10-15,0.0,-1.13,58.58,2.59,Dharali (Uttarkashi),Uttarkashi,31.04,78.73,0,1991,10,Oct,Autumn,,,
2006-04-21,0.0,5.87,53.58,2.53,Badrinath (Chamoli),Chamoli,30.74,79.49,0,2006,4,Apr,Spring,,,
1991-06-19,114.16,20.79,66.64,1.67,Mussoorie (Dehradun),Dehradun,30.45,78.07,1,1991,6,Jun,Monsoon,,,
2021-10-18,105.45,6.66,89.44,0.91,Joshimath (Chamoli),Chamoli,30.55,79.57,1,2021,10,Oct,Autumn,,,
2014-12-16,0.13,-4.01,73.67,1.59,Joshimath (Chamoli),Chamoli,30.55,79.57,0,2014,12,Dec,Winter,,,
2021-10-18,137.4,11.28,91.11,1.91,Munsiyari (Pithoragarh),Pithoragarh,30.07,80.24,1,2021,10,Oct,Autumn,,,
2002-08-11,101.24,21.54,94.24,2.83,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,1,2002,8,Aug,Monsoon,,,
2013-01-26,0.0,10.97,48.31,2.42,Almora (Almora),Almora,29.6,79.66,0,2013,1,Jan,Winter,,,
2022-10-18,0.1,10.98,82.79,1.53,Bageshwar (Bageshwar),Bageshwar,29.83,79.77,1,2022,10,Oct,Autumn,,,
2025-01-20,0.0,7.21,45.67,1.8,Arakot (Uttarkashi),Uttarkashi,30.88,78.2,0,2025,1,Jan,Winter,,,
2010-02-12,2.49,11.95,57.82,2.15,Almora (Almora),Almora,29.6,79.66,0,2010,2,Feb,Winter,,,
2002-04-30,0.0,15.33,34.05,3.37,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,0,2002,4,Apr,Spring,,,
2001-09-16,0.0,9.7,60.15,1.95,Joshimath (Chamoli),Chamoli,30.55,79.57,0,2001,9,Sep,Monsoon,,,
2020-04-21,344.76,15.45,74.32,1.7,Champawat (Champawat),Champawat,29.34,80.09,1,2020,4,Apr,Spring,,,
1998-06-10,12.27,10.9,62.92,2.46,Joshimath (Chamoli),Chamoli,30.55,79.57,0,1998,6,Jun,Monsoon,,,
2000-08-26,0.03,14.1,89.36,2.21,Karnaprayag (Chamoli),Chamoli,30.27,79.21,0,2000,8,Aug,Monsoon,,,
1991-08-01,0.29,15.05,84.76,2.96,Karnaprayag (Chamoli),Chamoli,30.27,79.21,0,1991,8,Aug,Monsoon,,,
2024-08-28,22.46,22.89,91.67,1.84,Srinagar (Pauri Garhwal),Pauri Garhwal,30.22,78.77,0,2024,8,Aug,Monsoon,,,
2010-10-04,0.0,24.0,72.79,2.0,Haridwar (Haridwar),Haridwar,29.95,78.16,0,2010,10,Oct,Autumn,,,
2023-07-08,52.04,23.03,90.93,2.69,Devprayag (Tehri Garhwal),Tehri Garhwal,30.15,78.6,0,2023,7,Jul,Monsoon,,,
2017-08-04,21.44,23.16,89.29,2.36,Pauri (Pauri Garhwal),Pauri Garhwal,30.15,78.78,0,2017,8,Aug,Monsoon,,,
2021-07-01,0.07,27.88,46.49,3.41,Mussoorie (Dehradun),Dehradun,30.45,78.07,0,2021,7,Jul,Monsoon,,,
2015-06-16,0.0,12.97,63.41,3.49,Mandakini Valley (Rudraprayag),Rudraprayag,30.45,79.2,0,2015,6,Jun,Monsoon,,,
2017-02-19,0.12,11.87,57.44,2.4,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,0,2017,2,Feb,Winter,,,
2022-01-30,0.0,6.01,44.34,2.14,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,0,2022,1,Jan,Winter,,,
2009-01-20,0.0,2.2,28.2,1.62,Joshimath (Chamoli),Chamoli,30.55,79.57,0,2009,1,Jan,Winter,,,
2004-03-10,0.0,16.35,39.13,2.57,Champawat (Champawat),Champawat,29.34,80.09,0,2004,3,Mar,Spring,,,
1992-05-27,0.02,11.64,52.74,3.33,Karnaprayag (Chamoli),Chamoli,30.27,79.21,0,1992,5,May,Spring,,,
